"","ld","smd","stlogoddse"
"overthrew",-0.003089349199985,-0.229305693355461,-1.91336759565664
"michel",-0.00136370902535375,-0.11451361125887,-0.651433173932531
"a14",0.000413395974198609,0.0606377154383556,0.458491781233922
"rid",0.000152730738834618,0.0150868576693212,0.112200999938516
"modest",-0.000239547325089715,-0.0217662137290448,-0.0817927186911233
"prayer",-0.000302850367716161,-0.0311880142922623,-0.158711662134362
"elder",-0.000383316591822329,-0.0412814269235731,-0.240540389123622
"jump",-0.000555106805687954,-0.0496780073622356,-0.240540389123622
"dinner",-0.00130338323536161,-0.142373816226559,-1.54207036787613
"homicid",-0.00142567663433222,-0.148903387116828,-1.54207036787613
"highway",0.000145729640037348,0.0158519510085493,0.125971372055265
"treason",-0.000154594991675263,-0.0174857770472043,-0.0817927186911233
"optimist",-0.000384771638422097,-0.0351540364120963,-0.158711662134362
"pure",0.00131683836334647,0.136091136466133,0.675503754410877
"cancer",0.000649644455403788,0.0867964712440967,0.576786203667573
"kurdistan",-0.00172001459559582,-0.176053609039328,-2.50988543601927
"consolid",0.000196958680089356,0.018428769494849,0.125971372055265
"apparatu",-0.000412269284040567,-0.0363885006617698,-0.158711662134362
"kid",-0.00034747224027444,-0.0393039273819225,-0.240540389123622
"commemor",0.000900918627426079,0.126516126644856,0.817325215798336
"degrad",-0.000164463457020796,-0.0180352403308333,-0.0817927186911233
"maoist",-0.000497892961678591,-0.0947211276778836,-2.50988543601927
"affirm",-0.000380823280775401,-0.0411469488428786,-0.240540389123622
"X1948",-0.000212097976414684,-0.0204812042680962,-0.0817927186911233
"chair",0.000402540122740905,0.0477341574017456,0.323238129538459
"barbar",0.000536260175458761,0.0550950328670222,0.323238129538459
"northwest",0.00116428904895439,0.139718497257543,0.788147163412682
"postwar",6.63174694337973e-05,0.00693072770906772,0.0737957293703412
"mikhail",0.00291673223221453,0.400603387729727,2.27577850847497
"agricultur",-0.000343502682921295,-0.0319823373208831,-0.145571989481391
"oversea",-0.00104565288218526,-0.0909679358107514,-0.513439310265152
"holiday",0.000341740968465423,0.0388932219427128,0.264380992047106
"bought",-5.45502707932958e-05,-0.00527302130473463,0.00448145438014009
"signatur",-0.000148550641547815,-0.0160945070399875,-0.0684493321350259
"salari",0.000320355876217101,0.0376566555880574,0.264380992047106
"brand",-0.000209535738184403,-0.0191147871570743,-0.0684493321350259
"withdrew",0.000744203925011387,0.0716301726297134,0.380196961022968
"kennedi",-0.00028671962102572,-0.0347505864911766,-0.227598303288114
"shipment",-0.000392435886813658,-0.0462291556392739,-0.315424193087427
"famin",-0.000282583781095503,-0.0392288177279406,-0.315424193087427
"unidentifi",0.000576083850745789,0.0571041306119273,0.323238129538459
"scare",0.000190637390609865,0.0193218537094429,0.139965651908398
"bottom",-0.000803823527611833,-0.0719812545935925,-0.397449858626568
"roadblock",-0.000668848532808843,-0.0656603123593504,-0.397449858626568
"galleri",0.000561466280165473,0.0734039044646721,0.505023402498824
"relax",0.000678831957602504,0.0753441449255064,0.45097422855394
"wiesenth",-2.50005252256701e-05,-0.00997227093389114,-0.214458630635143
"string",0.000538093641139698,0.0500774121514109,0.27909292813089
"lesser",0.000746287993364899,0.0789990003831679,0.45097422855394
"realist",0.000250769052827503,0.0457936582223009,0.45097422855394
"miner",-0.000363670366940569,-0.0607494127546342,-0.742106755258962
"pocket",0.000466495002744277,0.057666300546108,0.395429677382973
"qualifi",0.000376286808230251,0.0418766993914831,0.27909292813089
"lectur",-0.00157948167902731,-0.134080381883913,-0.886977724814765
"tale",-0.000767106500583968,-0.0703180609824346,-0.397449858626568
"sir",0.000202030769202217,0.0606957738805903,0.853189592315204
"similarli",0.000850185890307868,0.0843189743670188,0.45097422855394
"slightli",-3.25523340027949e-05,-0.00299567490251198,0.0182518264968886
"refrain",0.000598227691061186,0.0593820438894985,0.338205926893687
"sam",-0.00166609480320662,-0.15190584938252,-1.25983025950153
"singapor",-0.00109525543579213,-0.128533443596657,-1.51911866109618
"passeng",-0.000371404938804556,-0.043996421462605,-0.302482107251919
"frighten",0.000238646426776298,0.0228736134221381,0.15419124190403
"kenyan",-0.000735518428229791,-0.10533075898527,-1.51911866109618
"aren",-0.00136771427846834,-0.117810993156142,-0.742106755258962
"chancellor",0.000209809027336791,0.0800931497982627,1.30667811216012
"winner",-0.00109638779055703,-0.105480024503352,-0.742106755258962
"skill",-0.000719386223675541,-0.0612314543569039,-0.302482107251919
"paraguay",-0.00076478376228886,-0.093299060630238,-0.886977724814765
"danc",-0.000306829378110358,-0.0349355812060266,-0.214458630635143
"divers",-0.000679186180638719,-0.0594960230623554,-0.302482107251919
"nonviol",-4.7837338727268e-06,-0.000446385662561904,0.0322461063500217
"cane",-0.000299947023112465,-0.0694575518956914,-1.86806036457918
"havana",-0.00133707863584916,-0.140909889357263,-1.50740913315033
"X20th",0.000376751268929837,0.0371358488405301,0.232560514710841
"tougher",0.00012419563525987,0.0121691261248856,0.102015599219107
"confidenti",0.000513801971746311,0.0561144119115461,0.353438643253692
"chest",0.000136377975048132,0.0127520011888627,0.102015599219107
"varieti",-0.00017170257592251,-0.0147999242107975,-0.0411254429813861
"soul",-4.45634048360999e-06,-0.000430839897818784,0.0322461063500217
"sworn",-0.00199157398311071,-0.178976254900639,-1.86806036457918
"imperi",-0.00114785738973311,-0.106675741096594,-0.729723312337944
"pri",-0.000271456113376418,-0.0579754293188489,-1.0438844574441
"undertak",0.000257439121480636,0.024993012097163,0.168655917713131
"fed",0.000491021806641789,0.0490233097763375,0.294060725486118
"endang",-0.000154773837446978,-0.0140514085553541,-0.0411254429813861
"baathist",-0.0012943830002125,-0.144287462004767,-1.86806036457918
"homeless",0.00100516177862388,0.136250105992485,0.871698252412232
"portrait",-0.00121343718227749,-0.10968073463717,-0.729723312337944
"oscar",-0.00271138016956153,-0.200658798189641,-1.50740913315033
"X39",0.000129367514287448,0.0124199212586457,0.102015599219107
"percept",0.000164226609663044,0.0199619558483088,0.168655917713131
"X78",-4.80857721945862e-06,-0.000447543268033858,0.0322461063500217
"cynic",0.000439512745226412,0.0518993918965888,0.353438643253692
"walter",-0.000400626397409704,-0.0498859464015123,-0.38450777279106
"expir",-0.00139601239541692,-0.117643067122623,-0.729723312337944
"parad",-0.00021238033818575,-0.0325142920537407,-0.289342434598948
"chicago",0.000231225541200742,0.0236864092865755,0.168655917713131
"guidelin",-0.00141247115899325,-0.132246429188986,-1.0438844574441
"lake",7.56776834757383e-05,0.00949926800112147,0.102015599219107
"plastic",-3.54590582166436e-06,-0.000384317649748236,0.0322461063500217
"lean",-0.000907730288051259,-0.0750908202358188,-0.38450777279106
"burial",0.00118991410010216,0.16327850654553,1.03202133146921
"mouth",-0.000440324950866667,-0.0393117331070022,-0.187561727042154
"rica",-0.00136326325650749,-0.152610634676068,-2.46457820494181
"provoc",1.99754449974532e-05,0.00196029429476622,0.0464716963456544
"ancient",0.000534208170462435,0.0583001348574095,0.368945826010625
"sovereign",0.000275505262058998,0.0270732744188574,0.183367853796915
"outcri",-0.000814665007092084,-0.0697844903818638,-0.371368100138089
"fernando",-0.00371440474012497,-0.251906599966255,-2.46457820494181
"bail",-0.00143793928532342,-0.132166354071108,-1.03167666293259
"pilot",-0.000500501305669054,-0.0546980681016481,-0.371368100138089
"distort",-0.000130094013538227,-0.011641001203954,-0.027131163128253
"hu",-0.000532102835849807,-0.095343857831627,-2.46457820494181
"defianc",0.00102148071130239,0.107430555998355,0.590844360459086
"yasir",-0.00186764582981048,-0.158090810794434,-1.23592216509305
"prostitut",0.000127797018428029,0.0223091895068975,0.247528312066069
"tight",2.45615051013722e-05,0.00217370464111188,0.0464716963456544
"alert",-0.000278166590441096,-0.0251598587870719,-0.104904713771653
"pistol",1.3220410090769e-05,0.00159476063840873,0.0464716963456544
"stun",-0.000285527076601442,-0.0254905593216361,-0.104904713771653
"chase",0.000284152015183214,0.0274948406158776,0.183367853796915
"disband",-0.000116418407746472,-0.0110121598161971,-0.027131163128253
"migrant",-0.000394051500177715,-0.0533086977691411,-0.475182650640617
"a12",0.000161204590633866,0.0207092580076184,0.183367853796915
"pregnant",-0.00102213219110748,-0.0994690043876917,-0.717159092317324
"suspici",-0.000105750552974712,-0.0104954968223519,-0.027131163128253
"caribbean",-0.00170551316930953,-0.164415197508828,-1.85635083663333
"master",-0.00185520050223602,-0.14866951726057,-1.01929322001157
"tyranni",-0.000767233125020416,-0.0663836185105011,-0.358024713581992
"arena",-0.00103225913024137,-0.104996996060136,-0.84982226736162
"disagr",-0.000823529438218953,-0.068775984095592,-0.358024713581992
"discoveri",0.000786627824399702,0.0784840221218246,0.442815481725773
"disabl",-3.61517209621372e-05,-0.00540343172248376,-0.0129055731326203
"effici",-0.000435332028148607,-0.0377625338403073,-0.173791354925406
"identif",0.000426079215243122,0.0530155473756988,0.384737548158589
"horrif",-0.00027298747962847,-0.0236081743184151,-0.0909104339185202
"christma",-4.24231608155822e-05,-0.00585337962703106,-0.0129055731326203
"fiscal",-0.00121086642203612,-0.126175880179593,-1.22371437058154
"distinguish",0.000348114693151349,0.0317427606924423,0.198335651152143
"X48",0.000528652575920359,0.0532438316925598,0.324800624603056
"hot",-0.00010332202246466,-0.00913485439518577,-0.0129055731326203
"revolt",0.000142981212617086,0.0154081196557648,0.131192211111991
"captor",3.93087341087259e-05,0.00409405674328173,0.0609363721547553
"famou",-0.000348265633055093,-0.0337758375787417,-0.173791354925406
"deter",0.00053782115776249,0.0537035589186396,0.324800624603056
"shed",0.000776646061782671,0.0779844783878828,0.442815481725773
"acquir",0.000275749978558028,0.0282514837430974,0.198335651152143
"ieng",-0.00066027671850899,-0.10547820828833,-2.45286867699596
