"","ld","smd","stlogoddse"
"partit",3.38136471203642e-05,0.00450848327735724,0.0728964321647343
"decent",-0.000474453841714822,-0.0403531537554092,-0.196288048497505
"coercion",0.000754295474484538,0.0743226312328369,0.452954191828109
"carpio",-0.000208193085507016,-0.059274920669137,-2.40712557578141
"incent",0.000871175669060732,0.086896547683228,0.52300167125673
"unearth",-0.000245131880563298,-0.0226221283675317,-0.101537219969693
"il",-0.00109785768789819,-0.13058228932034,-1.80542194274433
"disguis",0.000268531059657974,0.0228569228426467,0.154204331342319
"voluntarili",-0.000739679754943407,-0.0594398537102645,-0.297511460717856
"censur",-0.000942690377479231,-0.0838898758210659,-0.525909001609569
"altogeth",-9.51847660854326e-05,-0.0084112516911093,-0.0121096265930875
"swedish",-0.00148930628793361,-0.145359564301006,-1.44602285329656
"electron",-9.54854548733771e-05,-0.00842452679235032,-0.0121096265930875
"volum",-0.000320942209115865,-0.0331889809044462,-0.196288048497505
"soften",0.00135699005091813,0.131281851034839,0.72674935098891
"facilit",-0.000108393219336686,-0.00897589911710084,-0.0121096265930875
"shackl",0.00068528196344659,0.0882176856900184,0.659653154908043
"southwest",0.000392130319564968,0.0359178479524155,0.232406135984195
"eric",0.000713477948425532,0.0653125540749742,0.381391062412225
"deed",0.000797988846715764,0.076444938596443,0.452954191828109
"unexpect",-0.000488638121418636,-0.040951910866286,-0.196288048497505
"X69",0.000566036955183307,0.0512174245450174,0.307995461226428
"X82",-0.00145523692807674,-0.113226714510388,-0.657934951031263
"spark",0.000481818373274923,0.0694548495903547,0.591815968718849
"inclin",0.000746509471093231,0.0668073201148951,0.381391062412225
"ugli",-8.28596118373857e-05,-0.00784780769425011,-0.0121096265930875
"watchdog",-0.000243026772380634,-0.0225247834012367,-0.101537219969693
"lip",7.04347190511463e-05,0.00650695567636197,0.0728964321647343
"daw",-0.002515089852811,-0.1976459898093,-1.80542194274433
"ivori",-0.00172419412163801,-0.156402856646545,-1.44602285329656
"columnist",0.00104075417027915,0.108716406657711,0.659653154908043
"shouldn",0.000579151146695701,0.0518073410846914,0.307995461226428
"grain",4.67885349482763e-05,0.00530339748677072,0.0728964321647343
"aboard",0.000269381521335634,0.024836908822162,0.177966775626719
"prior",-0.00181834800932354,-0.133557323148949,-0.787960950791707
"banish",-0.00015237218236238,-0.0162980898748178,-0.079626557823275
"contenti",-0.000696163163151696,-0.0555470125818138,-0.276682885217547
"dorfman",-0.000330576842893279,-0.0739259004469625,-2.39008417442697
"talabani",0.00099336573828737,0.218361066671222,4.17543993205166
"unpopular",0.000744049467789421,0.0685913298568787,0.407347230755506
"sudden",0.000252154392904299,0.0240296204792207,0.177966775626719
"tast",7.46312006393722e-05,0.00840042049518114,0.0960077869338974
"incred",0.000863893895366674,0.0813879630982326,0.479734479851278
"portug",-0.000428905838648278,-0.0435999675744518,-0.276682885217547
